ID_Cliente,Empresa,Contacto,Email,Rubro,Modulo,Licencia_Key,Estado
32,Corporativo Logística LOG-132,Gestor LOG-132,contacto@log-132-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0032,INSTALACIÓN EXITOSA
33,Corporativo Logística LOG-133,Gestor LOG-133,contacto@log-133-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0033,INSTALACIÓN EXITOSA
34,Corporativo Logística LOG-134,Gestor LOG-134,contacto@log-134-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0034,INSTALACIÓN EXITOSA
35,Corporativo Logística LOG-135,Gestor LOG-135,contacto@log-135-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0035,INSTALACIÓN EXITOSA
36,Corporativo Logística LOG-136,Gestor LOG-136,contacto@log-136-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0036,INSTALACIÓN EXITOSA
37,Corporativo Logística LOG-137,Gestor LOG-137,contacto@log-137-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0037,INSTALACIÓN EXITOSA
38,Corporativo Logística LOG-138,Gestor LOG-138,contacto@log-138-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0038,INSTALACIÓN EXITOSA
39,Corporativo Logística LOG-139,Gestor LOG-139,contacto@log-139-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0039,INSTALACIÓN EXITOSA
40,Corporativo Logística LOG-140,Gestor LOG-140,contacto@log-140-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0040,INSTALACIÓN EXITOSA
41,Corporativo Logística LOG-141,Gestor LOG-141,contacto@log-141-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0041,INSTALACIÓN EXITOSA
42,Corporativo Logística LOG-142,Gestor LOG-142,contacto@log-142-mock.axyntrax.com,LOGÍSTICA,JARVIS,AK-TEST-20260508_181357-0042,INSTALACIÓN EXITOSA
43,Corporativo Logística LOG-143,Gestor LOG-143,contacto@log-143-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0043,INSTALACIÓN EXITOSA
44,Corporativo Logística LOG-144,Gestor LOG-144,contacto@log-144-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0044,INSTALACIÓN EXITOSA
45,Corporativo Logística LOG-145,Gestor LOG-145,contacto@log-145-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0045,INSTALACIÓN EXITOSA
46,Corporativo Logística LOG-146,Gestor LOG-146,contacto@log-146-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0046,INSTALACIÓN EXITOSA
47,Corporativo Logística LOG-147,Gestor LOG-147,contacto@log-147-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0047,INSTALACIÓN EXITOSA
48,Corporativo Logística LOG-148,Gestor LOG-148,contacto@log-148-mock.axyntrax.com,LOGÍSTICA,JARVIS,AK-TEST-20260508_181357-0048,INSTALACIÓN EXITOSA
49,Corporativo Logística LOG-149,Gestor LOG-149,contacto@log-149-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0049,INSTALACIÓN EXITOSA
50,Corporativo Logística LOG-150,Gestor LOG-150,contacto@log-150-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0050,INSTALACIÓN EXITOSA
51,Corporativo Finanzas FIN-101,Gestor FIN-101,contacto@fin-101-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0051,INSTALACIÓN EXITOSA
52,Corporativo Finanzas FIN-102,Gestor FIN-102,contacto@fin-102-mock.axyntrax.com,FINANZAS,JARVIS,AK-TEST-20260508_181357-0052,INSTALACIÓN EXITOSA
53,Corporativo Finanzas FIN-103,Gestor FIN-103,contacto@fin-103-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0053,INSTALACIÓN EXITOSA
54,Corporativo Finanzas FIN-104,Gestor FIN-104,contacto@fin-104-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0054,INSTALACIÓN EXITOSA
55,Corporativo Finanzas FIN-105,Gestor FIN-105,contacto@fin-105-mock.axyntrax.com,FINANZAS,JARVIS,AK-TEST-20260508_181357-0055,INSTALACIÓN EXITOSA
56,Corporativo Finanzas FIN-106,Gestor FIN-106,contacto@fin-106-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0056,INSTALACIÓN EXITOSA
57,Corporativo Finanzas FIN-107,Gestor FIN-107,contacto@fin-107-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0057,INSTALACIÓN EXITOSA
58,Corporativo Finanzas FIN-108,Gestor FIN-108,contacto@fin-108-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0058,INSTALACIÓN EXITOSA
59,Corporativo Finanzas FIN-109,Gestor FIN-109,contacto@fin-109-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0059,INSTALACIÓN EXITOSA
60,Corporativo Finanzas FIN-110,Gestor FIN-110,contacto@fin-110-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0060,INSTALACIÓN EXITOSA
61,Corporativo Finanzas FIN-111,Gestor FIN-111,contacto@fin-111-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0061,INSTALACIÓN EXITOSA
62,Corporativo Finanzas FIN-112,Gestor FIN-112,contacto@fin-112-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0062,INSTALACIÓN EXITOSA
63,Corporativo Finanzas FIN-113,Gestor FIN-113,contacto@fin-113-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0063,INSTALACIÓN EXITOSA
64,Corporativo Finanzas FIN-114,Gestor FIN-114,contacto@fin-114-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0064,INSTALACIÓN EXITOSA
65,Corporativo Finanzas FIN-115,Gestor FIN-115,contacto@fin-115-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0065,INSTALACIÓN EXITOSA
66,Corporativo Finanzas FIN-116,Gestor FIN-116,contacto@fin-116-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0066,INSTALACIÓN EXITOSA
67,Corporativo Finanzas FIN-117,Gestor FIN-117,contacto@fin-117-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0067,INSTALACIÓN EXITOSA
68,Corporativo Finanzas FIN-118,Gestor FIN-118,contacto@fin-118-mock.axyntrax.com,FINANZAS,JARVIS,AK-TEST-20260508_181357-0068,INSTALACIÓN EXITOSA
69,Corporativo Finanzas FIN-119,Gestor FIN-119,contacto@fin-119-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0069,INSTALACIÓN EXITOSA
70,Corporativo Finanzas FIN-120,Gestor FIN-120,contacto@fin-120-mock.axyntrax.com,FINANZAS,JARVIS,AK-TEST-20260508_181357-0070,INSTALACIÓN EXITOSA
71,Corporativo Finanzas FIN-121,Gestor FIN-121,contacto@fin-121-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0071,INSTALACIÓN EXITOSA
72,Corporativo Finanzas FIN-122,Gestor FIN-122,contacto@fin-122-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0072,INSTALACIÓN EXITOSA
73,Corporativo Finanzas FIN-123,Gestor FIN-123,contacto@fin-123-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0073,INSTALACIÓN EXITOSA
74,Corporativo Finanzas FIN-124,Gestor FIN-124,contacto@fin-124-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0074,INSTALACIÓN EXITOSA
75,Corporativo Finanzas FIN-125,Gestor FIN-125,contacto@fin-125-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0075,INSTALACIÓN EXITOSA
76,Corporativo Finanzas FIN-126,Gestor FIN-126,contacto@fin-126-mock.axyntrax.com,FINANZAS,JARVIS,AK-TEST-20260508_181357-0076,INSTALACIÓN EXITOSA
77,Corporativo Finanzas FIN-127,Gestor FIN-127,contacto@fin-127-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0077,INSTALACIÓN EXITOSA
78,Corporativo Finanzas FIN-128,Gestor FIN-128,contacto@fin-128-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0078,INSTALACIÓN EXITOSA
79,Corporativo Finanzas FIN-129,Gestor FIN-129,contacto@fin-129-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0079,INSTALACIÓN EXITOSA
80,Corporativo Finanzas FIN-130,Gestor FIN-130,contacto@fin-130-mock.axyntrax.com,FINANZAS,JARVIS,AK-TEST-20260508_181357-0080,INSTALACIÓN EXITOSA
81,Corporativo Finanzas FIN-131,Gestor FIN-131,contacto@fin-131-mock.axyntrax.com,FINANZAS,JARVIS,AK-TEST-20260508_181357-0081,INSTALACIÓN EXITOSA
82,Corporativo Finanzas FIN-132,Gestor FIN-132,contacto@fin-132-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0082,INSTALACIÓN EXITOSA
83,Corporativo Finanzas FIN-133,Gestor FIN-133,contacto@fin-133-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0083,INSTALACIÓN EXITOSA
84,Corporativo Finanzas FIN-134,Gestor FIN-134,contacto@fin-134-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0084,INSTALACIÓN EXITOSA
85,Corporativo Finanzas FIN-135,Gestor FIN-135,contacto@fin-135-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0085,INSTALACIÓN EXITOSA
86,Corporativo Finanzas FIN-136,Gestor FIN-136,contacto@fin-136-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0086,INSTALACIÓN EXITOSA
87,Corporativo Finanzas FIN-137,Gestor FIN-137,contacto@fin-137-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0087,INSTALACIÓN EXITOSA
88,Corporativo Finanzas FIN-138,Gestor FIN-138,contacto@fin-138-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0088,INSTALACIÓN EXITOSA
89,Corporativo Finanzas FIN-139,Gestor FIN-139,contacto@fin-139-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0089,INSTALACIÓN EXITOSA
90,Corporativo Finanzas FIN-140,Gestor FIN-140,contacto@fin-140-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0090,INSTALACIÓN EXITOSA
91,Corporativo Finanzas FIN-141,Gestor FIN-141,contacto@fin-141-mock.axyntrax.com,FINANZAS,JARVIS,AK-TEST-20260508_181357-0091,INSTALACIÓN EXITOSA
92,Corporativo Finanzas FIN-142,Gestor FIN-142,contacto@fin-142-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0092,INSTALACIÓN EXITOSA
93,Corporativo Finanzas FIN-143,Gestor FIN-143,contacto@fin-143-mock.axyntrax.com,FINANZAS,JARVIS,AK-TEST-20260508_181357-0093,INSTALACIÓN EXITOSA
94,Corporativo Finanzas FIN-144,Gestor FIN-144,contacto@fin-144-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0094,INSTALACIÓN EXITOSA
95,Corporativo Finanzas FIN-145,Gestor FIN-145,contacto@fin-145-mock.axyntrax.com,FINANZAS,JARVIS,AK-TEST-20260508_181357-0095,INSTALACIÓN EXITOSA
96,Corporativo Finanzas FIN-146,Gestor FIN-146,contacto@fin-146-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0096,INSTALACIÓN EXITOSA
97,Corporativo Finanzas FIN-147,Gestor FIN-147,contacto@fin-147-mock.axyntrax.com,FINANZAS,CECILIA,AK-TEST-20260508_181357-0097,INSTALACIÓN EXITOSA
98,Corporativo Finanzas FIN-148,Gestor FIN-148,contacto@fin-148-mock.axyntrax.com,FINANZAS,ATLAS,AK-TEST-20260508_181357-0098,INSTALACIÓN EXITOSA
99,Corporativo Finanzas FIN-149,Gestor FIN-149,contacto@fin-149-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0099,INSTALACIÓN EXITOSA
100,Corporativo Finanzas FIN-150,Gestor FIN-150,contacto@fin-150-mock.axyntrax.com,FINANZAS,MATRIX,AK-TEST-20260508_181357-0100,INSTALACIÓN EXITOSA
101,Corporativo Retail RET-101,Gestor RET-101,contacto@ret-101-mock.axyntrax.com,RETAIL,CECILIA,AK-TEST-20260508_181357-0101,INSTALACIÓN EXITOSA
102,Corporativo Retail RET-102,Gestor RET-102,contacto@ret-102-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0102,INSTALACIÓN EXITOSA
103,Corporativo Retail RET-103,Gestor RET-103,contacto@ret-103-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0103,INSTALACIÓN EXITOSA
104,Corporativo Retail RET-104,Gestor RET-104,contacto@ret-104-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0104,INSTALACIÓN EXITOSA
105,Corporativo Retail RET-105,Gestor RET-105,contacto@ret-105-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0105,INSTALACIÓN EXITOSA
106,Corporativo Retail RET-106,Gestor RET-106,contacto@ret-106-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0106,INSTALACIÓN EXITOSA
107,Corporativo Retail RET-107,Gestor RET-107,contacto@ret-107-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0107,INSTALACIÓN EXITOSA
108,Corporativo Retail RET-108,Gestor RET-108,contacto@ret-108-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0108,INSTALACIÓN EXITOSA
109,Corporativo Retail RET-109,Gestor RET-109,contacto@ret-109-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0109,INSTALACIÓN EXITOSA
110,Corporativo Retail RET-110,Gestor RET-110,contacto@ret-110-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0110,INSTALACIÓN EXITOSA
111,Corporativo Retail RET-111,Gestor RET-111,contacto@ret-111-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0111,INSTALACIÓN EXITOSA
112,Corporativo Retail RET-112,Gestor RET-112,contacto@ret-112-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0112,INSTALACIÓN EXITOSA
113,Corporativo Retail RET-113,Gestor RET-113,contacto@ret-113-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0113,INSTALACIÓN EXITOSA
114,Corporativo Retail RET-114,Gestor RET-114,contacto@ret-114-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0114,INSTALACIÓN EXITOSA
115,Corporativo Retail RET-115,Gestor RET-115,contacto@ret-115-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0115,INSTALACIÓN EXITOSA
116,Corporativo Retail RET-116,Gestor RET-116,contacto@ret-116-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0116,INSTALACIÓN EXITOSA
117,Corporativo Retail RET-117,Gestor RET-117,contacto@ret-117-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0117,INSTALACIÓN EXITOSA
118,Corporativo Retail RET-118,Gestor RET-118,contacto@ret-118-mock.axyntrax.com,RETAIL,CECILIA,AK-TEST-20260508_181357-0118,INSTALACIÓN EXITOSA
119,Corporativo Retail RET-119,Gestor RET-119,contacto@ret-119-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0119,INSTALACIÓN EXITOSA
120,Corporativo Retail RET-120,Gestor RET-120,contacto@ret-120-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0120,INSTALACIÓN EXITOSA
121,Corporativo Retail RET-121,Gestor RET-121,contacto@ret-121-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0121,INSTALACIÓN EXITOSA
122,Corporativo Retail RET-122,Gestor RET-122,contacto@ret-122-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0122,INSTALACIÓN EXITOSA
123,Corporativo Retail RET-123,Gestor RET-123,contacto@ret-123-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0123,INSTALACIÓN EXITOSA
124,Corporativo Retail RET-124,Gestor RET-124,contacto@ret-124-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0124,INSTALACIÓN EXITOSA
125,Corporativo Retail RET-125,Gestor RET-125,contacto@ret-125-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0125,INSTALACIÓN EXITOSA
126,Corporativo Retail RET-126,Gestor RET-126,contacto@ret-126-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0126,INSTALACIÓN EXITOSA
127,Corporativo Retail RET-127,Gestor RET-127,contacto@ret-127-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0127,INSTALACIÓN EXITOSA
128,Corporativo Retail RET-128,Gestor RET-128,contacto@ret-128-mock.axyntrax.com,RETAIL,CECILIA,AK-TEST-20260508_181357-0128,INSTALACIÓN EXITOSA
129,Corporativo Retail RET-129,Gestor RET-129,contacto@ret-129-mock.axyntrax.com,RETAIL,CECILIA,AK-TEST-20260508_181357-0129,INSTALACIÓN EXITOSA
130,Corporativo Retail RET-130,Gestor RET-130,contacto@ret-130-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0130,INSTALACIÓN EXITOSA
131,Corporativo Retail RET-131,Gestor RET-131,contacto@ret-131-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0131,INSTALACIÓN EXITOSA
132,Corporativo Retail RET-132,Gestor RET-132,contacto@ret-132-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0132,INSTALACIÓN EXITOSA
133,Corporativo Retail RET-133,Gestor RET-133,contacto@ret-133-mock.axyntrax.com,RETAIL,CECILIA,AK-TEST-20260508_181357-0133,INSTALACIÓN EXITOSA
134,Corporativo Retail RET-134,Gestor RET-134,contacto@ret-134-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0134,INSTALACIÓN EXITOSA
135,Corporativo Retail RET-135,Gestor RET-135,contacto@ret-135-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0135,INSTALACIÓN EXITOSA
136,Corporativo Retail RET-136,Gestor RET-136,contacto@ret-136-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0136,INSTALACIÓN EXITOSA
137,Corporativo Retail RET-137,Gestor RET-137,contacto@ret-137-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0137,INSTALACIÓN EXITOSA
138,Corporativo Retail RET-138,Gestor RET-138,contacto@ret-138-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0138,INSTALACIÓN EXITOSA
139,Corporativo Retail RET-139,Gestor RET-139,contacto@ret-139-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0139,INSTALACIÓN EXITOSA
140,Corporativo Retail RET-140,Gestor RET-140,contacto@ret-140-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0140,INSTALACIÓN EXITOSA
141,Corporativo Retail RET-141,Gestor RET-141,contacto@ret-141-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0141,INSTALACIÓN EXITOSA
142,Corporativo Retail RET-142,Gestor RET-142,contacto@ret-142-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0142,INSTALACIÓN EXITOSA
143,Corporativo Retail RET-143,Gestor RET-143,contacto@ret-143-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0143,INSTALACIÓN EXITOSA
144,Corporativo Retail RET-144,Gestor RET-144,contacto@ret-144-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0144,INSTALACIÓN EXITOSA
145,Corporativo Retail RET-145,Gestor RET-145,contacto@ret-145-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0145,INSTALACIÓN EXITOSA
146,Corporativo Retail RET-146,Gestor RET-146,contacto@ret-146-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0146,INSTALACIÓN EXITOSA
147,Corporativo Retail RET-147,Gestor RET-147,contacto@ret-147-mock.axyntrax.com,RETAIL,ATLAS,AK-TEST-20260508_181357-0147,INSTALACIÓN EXITOSA
148,Corporativo Retail RET-148,Gestor RET-148,contacto@ret-148-mock.axyntrax.com,RETAIL,MATRIX,AK-TEST-20260508_181357-0148,INSTALACIÓN EXITOSA
149,Corporativo Retail RET-149,Gestor RET-149,contacto@ret-149-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0149,INSTALACIÓN EXITOSA
150,Corporativo Retail RET-150,Gestor RET-150,contacto@ret-150-mock.axyntrax.com,RETAIL,JARVIS,AK-TEST-20260508_181357-0150,INSTALACIÓN EXITOSA
